rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,text_clean,title_clean,full_text,sentiment,ai_sentiment,keywords,complaint
5.0,Great gift,Having Amazon money is always good.,[],B00IX1I3G6,B00IX1I3G6,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1549866158332,0,True,Having Amazon money is always good.,Great gift,Great gift. Having Amazon money is always good.,正面,,,
5.0,amazon gift card,Always the perfect gift.  I have never given one and had someone seem or act disappointed.  Just the opposite.  They are thrilled and excited to have a bit of a spree.  Always the perfect size and color!  Arrives in 1 day in most cases.  So it's never too late!  Lots of cards to chose from... thank you... birthday... wedding..baby..  and many that work for many occasions...,[],B005ESMMWW,B005ESMMWW,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1599875158120,0,False,Always the perfect gift. I have never given one and had someone seem or act disappointed. Just the opposite. They are thrilled and excited to have a bit of a spree. Always the perfect size and color! Arrives in 1 day in most cases. So it's never too late! Lots of cards to chose from... thank you... birthday... wedding..baby.. and many that work for many occasions...,amazon gift card,amazon gift card. Always the perfect gift. I have never given one and had someone seem or act disappointed. Just the opposite. They are thrilled and excited to have a bit of a spree. Always the perfect size and color! Arrives in 1 day in most cases. So it's never too late! Lots of cards to chose from... thank you... birthday... wedding..baby.. and many that work for many occasions...,正面,,,
5.0,perfect gift,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all!,[],B01K8RIM5Y,B005S28ZES,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1535939929239,27,True,When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T. Man or woman... No matter what their hobby... lifestyle.. or age. All you have to do is pick the $. Don't forget to mention that it is a GIFT when you check out - you will have some gift card options. I've ordered many of these over years. They are always received with glee. Woo hoo! If you're looking for a great fit for me - this is just my size! :) Best to all!,perfect gift,perfect gift. When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T. Man or woman... No matter what their hobby... lifestyle.. or age. All you have to do is pick the $. Don't forget to mention that it is a GIFT when you check out - you will have some gift card options. I've ordered many of these over years. They are always received with glee. Woo hoo! If you're looking for a great fit for me - this is just my size! :) Best to all!,正面,,,
5.0,Nice looking,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",[],B0091JKVU0,B00ADR2LV6,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1418439577000,0,False,"The tin is a nice touch and pretty large. It's about 4&#34; in diameter and about 1/2&#34; thick. I added a pretty red ribbon and it is perfect. Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",Nice looking,"Nice looking. The tin is a nice touch and pretty large. It's about 4&#34; in diameter and about 1/2&#34; thick. I added a pretty red ribbon and it is perfect. Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift.",正面,,,
1.0,Not $10 Gift Cards,"I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter.<br />My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",[],B00FTGTM5E,B00FTGTIOE,AH5L7ILVA6HYLZOUZIQAWNHVVK3A,1638068808115,2,True,"I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter. My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",Not $10 Gift Cards,"Not $10 Gift Cards. I bought this pack of Starbucks Gift cards in 2019. Ive given them to friends and I gave 2 to my daughter. My daughter used one recently and it had $6.52 on the card not $10.00. She had the cashier check the balance of the other card and it had $5.32 on it! She had forgotten that she had these gift cards, so yes, 2 years later decided to use the when she found them! Do they decline in value? And then both had random amounts on them! I'm embarrassed now to have given them as gifts! Friends receiving the gift card aren't going to tell you that weren't able to cover their order with the card you gave them!!!",负面,负面,"余额不对, 礼品卡",[余额与标称不符]
5.0,Cute!,That snowman tin is adorable,[],B072L7GTF5,B00ADR2LV6,AECABX3OO3GK7FCPZLFM3LT2E6UA,1608661063303,0,True,That snowman tin is adorable,Cute!,Cute!. That snowman tin is adorable,正面,,,
5.0,Easy gift,Great and easy gift,[],B00IX1I3G6,B00IX1I3G6,AFSCQMP2EPYLGJN7OBTMEXCBE2OQ,1602104097716,0,True,Great and easy gift,Easy gift,Easy gift. Great and easy gift,正面,,,
5.0,Great gift,Super cute nice quality tin<br />Your choose amount,[],B072P5VV4D,B00ADR2LV6,AF4XAUOI5XPGWHCPOTORKBIJSRDA,1551247682370,0,True,Super cute nice quality tin Your choose amount,Great gift,Great gift. Super cute nice quality tin Your choose amount,正面,,,
5.0,Gifts for my two granddaughters,They love it !!,[],B072P5VV4D,B00ADR2LV6,AGJXTLEOLLTIX5AAGFPBZ7CNNVOQ,1675387900672,0,True,They love it !!,Gifts for my two granddaughters,Gifts for my two granddaughters. They love it !!,正面,,,
5.0,"Great for saying “thank you” to the mail person, farrier, yard man,etc",So many people<br />Make your life better so remember them!,[],B071NM2PNL,B071X4ZX3X,AG7QDTQYHFOIXFWSVUUBZOEIW2NA,1674305242048,0,True,So many people Make your life better so remember them!,"Great for saying “thank you” to the mail person, farrier, yard man,etc","Great for saying “thank you” to the mail person, farrier, yard man,etc. So many people Make your life better so remember them!",正面,,,
5.0,"Convenient, safe, and perfect gift","My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",[],B01GKWEH64,B01GKWEEQM,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,1573997914372,2,True,"My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas","Convenient, safe, and perfect gift","Convenient, safe, and perfect gift. My grandson inlaw loves his gift cards, so it's the perfect gift for Christmas",正面,,,
5.0,Giftcard,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",[],B084RMVP59,B07YYWDPSM,AH4O5W3EM4CKQGHMBVTSPCJRYF7Q,1597503033721,1,True,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",Giftcard,"Giftcard. What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly.",正面,,,
5.0,Simple giftcard!,Easy way to gift money for birthdays.,[],B07HJHK8Y5,B07HJHK8Y5,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622792110181,0,True,Easy way to gift money for birthdays.,Simple giftcard!,Simple giftcard!. Easy way to gift money for birthdays.,正面,,,
5.0,Great giftcard,Great gift for online shoppers!,[],B0866T1TQJ,B077N4CNVJ,AG3BG6PCNVQKVYNWHT7IJHEKUQAA,1622787790140,0,True,Great gift for online shoppers!,Great giftcard,Great giftcard. Great gift for online shoppers!,正面,,,
